English,Tigrigna,POS_CATEGORIES
ኣውቶቡስ,bus,(n) noun
ኣውዓየ,"heat, warm, heat",(v) verb
ኣውጸአ,"extract, pull",(v) verb
ኣውጸአ ዋጋ,cost,(v) verb
ኣውጽአ,issue,(v) verb
ኣዐረየ,"mend, repair, fix,",(v) verb
ኣዐገበ,satisfy,(v) verb
ኣዕለለ,"gossip, chatter, talk",(v) verb
ኣዕረፈ,"rest, retire",(v) verb
ኣዕበየ,"make bigger, increase,",(v) verb
ኣዕነወ,"wreck, destroy",(v) verb
ኣዕዋፍ ዘቤት,poultry,(n) noun
ኣዕዘምዘመ,"murmur, whisper,",(v) verb
ኣዕጠቐ,arm,(v) verb
ኣዘናገዐ,"amuse, entertain,",(v) verb
ኣዘንተወ,tell,(v) verb
ኣዘከረ,remind,(v) verb
ኣዘውተረ,frequent,(v) verb
ኣዘዘ,"organize, arrange, put in",(v) verb
ኣዛዘወ,"favour, promote",(v) verb
ኣዝኒ,ear,(n) noun
ኣየር,air,(n) noun
ኣያት,springtime,(n) noun
ኣይሂ,torrent,(n) noun
ኣይሮኘላን,airplane,(n) noun
ኣይቢ ዓይነት ሓረግ,ivy,(n) noun
ኣደ,mother,(n) noun
ኣደ ዓባይ,grandmother,(n) noun
ኣደቀሰ,send to sleep,(v) verb
ኣደባባይ,"place, position, space",(n) noun
ኣደብ,conduct,(n) noun
ኣደታዊ,"maternal, mother",(a) adjective
ኣደነቐ,"impress, amaze",(v) verb
ኣደናቒ,"amazed, adorable",(a) adjective
ኣደናቒት,(af) adorable,(uncategorized) Uncategorized
ኣደናገረ,"confuse, mix up",(v) verb
ኣደንጎየ,"delay, defer",(v) verb
ኣደፋፈረ,encourage,(v) verb
ኣዳለወ,"arrange, organize,",(v) verb
ኣዳራሽ,"castle, palace, gallery,",(n) noun
ኣዳቐለ,graft,(v) verb
ኣድሃቢ,attentive,(a) adjective
ኣድህብ,attention,(n) noun
ኣድለየ,require,(v) verb
ኣድላይ,necessary,(a) adjective
ኣድላይነት,"necessity,",(n) noun
ኣድሓነ,"save, rescue",(v) verb
ኣድመቐ,"emboss, batter",(v) verb
ኣድመጸ,"listen to, vote, vote",(v) verb
ኣድማሳዊ,universal,(a) adjective
ኣድራሻ,"address, skill, dexterity",(n) noun
ኣድነቐ,admire,(v) verb
ኣድናቒ,sensational,(a) adjective
ኣድንቖት,admiration,(n) noun
ኣድከመ,"weaken, tire, exhaust",(v) verb
ኣድጊ,donkey,(n) noun
ኣጁቦ,similar to cottage,(n) noun
ኣጃ,rye,(n) noun
ኣገልገለ,"use, serve, function,",(v) verb
ኣገልጋሊ,"servant, serf",(nm) noun masculine
ኣገልጋሊት,servant,(nf) noun feminine
ኣገረሀ,"surprise, astonish",(v) verb
ኣገረመ,"astonish, amaze",(v) verb
ኣገራሚ,"amazed, appalling",(a) adjective
ኣገባብ,"style, manner",(n) noun
ኣገባብ ኣዘራርባ,"accent, stress,",(n) noun
ኣገደ,"prohibit, forbid",(v) verb
ኣገደሰ,"concern, matter",(v) verb
ኣገደደ,oblige,(v) verb
ኣገዳሲ,"important,",(a) adjective
ኣጉረምረመ,grumble,(v) verb
ኣጉደለ,take away,(v) verb
ኣጉዶ,hut,(n) noun
ኣጋር,pedestrian,(n) noun
ኣጋነነ,exaggerate,(v) verb
ኣጋጣሚ,"opportunity, occasion",(n) noun
ኣግሃደ,"show, manifest,",(v) verb
ኣግበረ,cause,(v) verb
ኣግዓዘ,"evacuate, transport",(v) verb
ኣግፈሐ,widen,(v) verb
ኣጎስማ,niece,(n) noun
ኣጓየየ,chase,(v) verb
ኣጕደለ,reduce,(v) verb
ኣጠንቀቐ,warn,(v) verb
ኣጣመረ,combine,(v) verb
ኣጣቓዒት,applauder,(f) feminine
ኣጣቓዓይ,applauder,(m) masculine
ኣጣበቐ,stick,(v) verb
ኣጥለለ,"wet, soak, water",(v) verb
ኣጥለቕለቐ,"inundate, flood,",(v) verb
ኣጥረየ,"own, possess",(v) verb
ኣጥቅዐ,attack,(v) verb
ኣጥበቐ,fasten,(v) verb
ኣጥፈአ,"put out, suppress,",(v) verb
ኣጥፍአ,lose,(v) verb
ኣጨብጨበ,"acclaim, hail,",(v) verb
ኣጨናቒ,"hard, difficult",(a) adjective
ኣጸረየ,"verify, confirm",(v) verb
ኣጸናንዐ,"comfort, fortify",(v) verb
ኣጸወዐ,summon to law,(v) verb
ኣጸደ ፍረታት,orchard,(n) noun
ኣጻብዕ,finger,(n) noun
ኣጻብዕ እግሪ,toe,(n) noun
ኣጻዕቲ እግሪ,toe,(n) noun
ኣጽረየ,"clean, clear, clear away",(v) verb
ኣጽንዐ,"study, investigate",(v) verb
ኣጽዋር,munitions,(n) noun
ኣጽደቐ,"approve of, consent to,",(v) verb
ኣጽፈሐ,"flatten, crush, level,",(v) verb
ኣፈ ታሪኽ,legend,(n) noun
ኣፈራርሀ,threaten,(v) verb
ኣፋኾሰ,relieve,(v) verb
ኣፍ,mouth,(n) noun
ኣፍ ልቢ,chest,(n) noun
ኣፍ ዑት,viper,(n) noun
ኣፍለጠ,"inform, advise,",(v) verb
ኣፍልቢ,"chest, breast",(n) noun
ኣፍረሐ,"scare, terrify",(v) verb
ኣፍረየ,produce,(v) verb
ኣፍራሒ,"frightening, appalling",(a) adjective
ኣፍራሰ,demolish,(v) verb
ኣፍራዛ,pick-axe,(n) noun
ኣፍቀረ,love,(v) verb
ኣፍቀደ,"permit, allow, make",(v) verb
ኣፍን ኣፍንጫን እንስሳ,"muzzle,",(n) noun
ኣፍንጫ,"nose, snout",(n) noun
ኤለትሪካዊ,electrical,(a) adjective
ኤለትሪክ,electricity,(n) noun
እላም,"stitch, link",(n) noun
እሙን,"fair, sincere, faithful,",(a) adjective
እምቢ,no,(a) adjective
እምቢታ,refusal,(n) noun
እምባ,mountain,(n) noun
እምቤዕ በለ,"bleat, (from a sheep)",(v) verb
እምነ በረድ,marble,(n) noun
እምነት,"worship, religion,",(n) noun
እምነት ለወጠ,convert oneself,(v) verb
እምነት ኣለወጠ,convert,(v) verb
እምኒ,stone,(n) noun
እርያ ወይኒ,wine-harvest,(n) noun
እርያ ፍረታት,"picking,gathering",(n) noun
እርጋን,"old age, old people",(n) noun
እስታዲዩም,stadium,(n) noun
እስትራረ,ironing,(n) noun
እስካፋለ,shelves,(n) noun
እሾኽ,"thorn, prickle",(n) noun
እሾኽ ገረብ,branch,(n) noun
እተባህለ,dictation,(n) noun
እቶት,"receipts, income,",(n) noun
እቶን,"oven, chimney",(n) noun
እንስሳ,"animal, beast",(n) noun
እንስሳ ዘቤት,"domestic, menial",(a) adjective
እንቁሮያብ,frog,(n) noun
እንቋቑሖ,egg,(n) noun
እንቋቑሖ ወለደት,lay eggs,(v) verb
እንቋዕ ሓጎሰካ በለ,congratulate,(v) verb
እንተዘይኮነ,otherwise,(adv) adverb
እንታይ,what,(prn) pronoun
እንኮ,"alone, only",(a) adjective
እንደና ረኸበ,"recover, regain",(v) verb
እንደገና,once again,(adv) adverb
እንደገና ሓዘ,catch again,(v) verb
እንደገና መጸ,"return, come back",(v) verb
እንደገና ተንሰአ,"get up, rise",(v) verb
እንደገና ኣንበበ,"read again, read over",(v) verb
እንደገና ወረደ,come down,(v) verb
እንደገና ወደቐ,fall again,(v) verb
እንደገና ደየበ,reclimb,(v) verb
እንደገና ጀመረ,restart,(v) verb
እንዳ ስጋ ሓሰማ,butcher's shop,(n) noun
እንዳ ባኒ,baker's shop,(n) noun
እንዳ ኣባጊዕ,sheep pen,(n) noun
እንዳ ኣፍራስ,stable,(n) noun
እንዳ ደወል,"church tower,steeple",(n) noun
እንዳ ዶልሺ,"pastry, pastry hop",(n) noun
እንዳ ገንዘብ,"portfolio, wallet",(n) noun
እንዳ ጸባ,"dairy, creamery",(n) noun
እንግሊዘኛ,English,(n) noun
እንግሊዛዊ,English,(a) adjective
እከይ,"nasty, mean, bad",(a) adjective
እኩብ,mass,(n) noun
እኩብ መጻሕፍቲ,collection of,(n) noun
እኩብ ገንዘብ,"fund, money",(n) noun
እኩይነት,"nastiness, meanness,",(n) noun
እካበ,collection,(n) noun
እኹል,"(a adv) sufficient, enough",(uncategorized) Uncategorized
እኹል ተረፍ,abundance,(n) noun
እኽሊ,"cereal, grain",(n) noun
እኽሊ ኣኸበ,"harvest, reap",(v) verb
እወ,yes,(a) adjective
እዋናዊ,actuality,(n) noun
እዋን,"period, epoch, period of",(n) noun
እዙዝ,obedient,(a) adjective
እዚ,(prn n) order,(uncategorized) Uncategorized
እዚኣቶም,those,(prn) pronoun
እዝኒ,ear,(n) noun
እጃም,"part, role",(n) noun
እጅገ,handle,(n) noun
እገዳ,deprivation,(n) noun
እግሪ,foot,(n) noun
እግዚኣብሄር,God,(n) noun
እጹብ,"splendid, magnificent",(a) adjective
ኦም,"forest, tree",(n) noun
ኦርጋን,organ,(n) noun
ኦክ,oak,(n) noun
ኦፐራ,opera,(n) noun
ከልቢ,dog,(n) noun
ከመይ,how,(adv) adverb
ከመይ ሓዲርኩም,"hello, good morning",(n) noun
ከመይ ኣምሲኩም,good evening,(n) noun
ከመይ ዊዕልኩም,"hello, good morning",(n) noun
ከም,"(adv a) like, similar",(uncategorized) Uncategorized
ከምኡውን,"equally, as well,too",(adv) adverb
ከምከመ,cut out,(v) verb
ከረጺት,bag,(n) noun
ከርፋሕ,"miserable, wretched,destitute",(a) adjective
ከሰል,coal,(n) noun
ከሰሰ,"pursue, accuse",(v) verb
ከሰስቲ,accuser,(np) noun plural
ከሳሲ,accuser,(nm) noun masculine
ከሳሲት,accuser,(nf) noun feminine
ከስዐ,stomach,(n) noun
ከሸነ,cook,(v) verb
ከሻኒ,cook,(nm) noun masculine
ከሻኒት,cook,(nf) noun feminine
ከቢብ,round,(a) adjective
ከቢድ,heavy,(a) adjective
ከባቢ,region,(n) noun
ከብሒ,cupboard,(n) noun
ከብከብ በለ,run around,(v) verb
ከብዲ,"belly, stomach, liver,",(n) noun
ከብዲ ሳእኒ,sole,(n) noun
ከብዲ ኢድ,palm,(n) noun
ከብዲ እግሪ,sole of the foot,(n) noun
ከተማ,town,(n) noun
ከተማዊ,urban,(a) adjective
ከኒሻ,protestant,(an) adjective noun
ከኒሻነት,Protestantism,(n) noun
ከኒና,pill,(n) noun
ከንቲባ,mayor,(n) noun
ከንፈር,lip,(n) noun
ከውሒ,rock,(n) noun
ከውሓዊ,rocky,(a) adjective
ከዓወ,pour,(v) verb
ከዘነ,stock,(v) verb
ከደ,"walk, leave, go, travel",(v) verb
ከደነ,cover,(v) verb
ከዳሚ,servant,(nm) noun masculine
ከዳሚት,servant,(nf) noun feminine
ከድዐ,"deceive, betray",(v) verb
ከፈለ,pay,(v) verb
ከፈተ,open,(v) verb
ከፈአ,pay,(v) verb
ከፋት,open,(a) adjective
ከፍሊ ገዛ,part of a house,(n) noun
ኩሉ,"all, any",(adv) adverb
ኩሉ ግዜ,always,(adv) adverb
ኩሊት,kidney,(n) noun
ኩላሊት,kidney,(n) noun
ኩምራ,"clutter, heap, pile",(an) adjective noun
ኩሩኹሮ,heels,(n) noun
ኩሩዕ,"trust, proud",(a) adjective
ኩራ,anger,(n) noun
ኩርማጅጅ,whip,(n) noun
ኩርሲ,armchair,(n) noun
ኩርሽ,chalk,(n) noun
ኩርባ,hill,(n) noun
ኩርናዕ,"corner, angle",(n) noun
ኩርናዕ ኢድ,elbow,(n) noun
ኩርናዕ እግሪ,ankle,(n) noun
ኩርፍፍቲ,(af) angry,(uncategorized) Uncategorized
ኩስቱባን,thimble,(n) noun
ኩስኩስ,cultivated,(a) adjective
ኩባያ,cup,(n) noun
ኩብለላ,wandering,(n) noun
ኩቦ,cube,(n) noun
ኩትልኽና,Catholicism,(n) noun
ኩነታት,"condition, situation",(n) noun
ኩነት,circumstance,(n) noun
ኩነት ኣእምር,mood,(n) noun
ኩነና,condemnation,(n) noun
ኩናት,war,(n) noun
ኩንታል,hundred kilos,(n) noun
ኩእሶ እግሪ,"soccer, football",(n) noun
ኩኽ,peach,(n) noun
ኩዕሶ,ball,(n) noun
ኩጽሪ,math,(n) noun
ኪሎሜተር,kilometre,(n) noun
ኪሎግራም,kilogram,(n) noun
ኪኢላ,capable,(a) adjective
ኪኸፍል,pay off,(v) verb
ኪዳን,alliance,(n) noun
ካህን,ecclesiastical,(an) adjective noun
ካልሲ,sock,(n) noun
ካልሲ ነዊሕ,bottom,(n) noun
ካልኣዊ,secondary,(a) adjective
ካልኣይ,companion,(an) adjective noun
ካልኣይ ኢድ,worn,(a) adjective
ካልኣይ ክፍሊ,second grade,(n) noun
ካልኣይ ደረጃ,"high school,",(n) noun
ካሚሻ,"shirt, blouse",(n) noun
ካምፑትር,computer,(n) noun
ካራ,knife,(n) noun
ካራመለ,candy,(n) noun
ካርታ,"card, map",(n) noun
ካርቶሊና,post card,(n) noun
ካርቶን,cardboard,(n) noun
ካሮሳ,cart,(n) noun
ካሮት,carrot,(n) noun
ካሳ,piggy bank,(n) noun
ካሻስትሩስ,concrete,(n) noun
ካቦት,coat,(n) noun
ካቲም,ring,(n) noun
ካካው,cocoa,(n) noun
ካዉሎ ካፑቺ,cabbage,(n) noun
ካውሎ,"cabbage, green",(n) noun
ካውሎ ፊየሪ,cauliflower,(n) noun
ካውሎ ፍዮሪ,cauliflower,(n) noun
ካፋ,shower,(n) noun
ካፒታኖ,captain,(n) noun
ኬሚስትራ,chemistry,(n) noun
ክሊማ,climate,(n) noun
ክሊኒክ,clinic,(n) noun
ክላሲካዊ,classical,(a) adjective
ክልስ ሓሳብ,theory,(n) noun
ክልተ,two,(an) adjective noun
ክረምቲ,winter,(n) noun
ክራባታ,necktie,(n) noun
ክራይ,rent,(n) noun
ክርስትና,Christianity,(n) noun
ክርስትያን,Christian,(a) adjective
ክርቢት,match,(n) noun
ክሲ,"accusation, prosecution",(n) noun
ክሳብ,"(adv prep) as far as, up to,",(uncategorized) Uncategorized
ክሳብ ክንድቲ,"so, so much",(adv) adverb
ክሳብ ክንድኡ,"as much, many",(adv) adverb
ክሳድ,neck,(n) noun
ክሳድ ጎቦ,collar,(n) noun
ክስራን,"loss, ruin",(n) noun
ክሽነ,"cooking, kitchen",(n) noun
ክቡር,"honourable, precious,",(a) adjective
ክቢ,"circle, round",(n) noun
ክብ ኣበለ,"put up, erect, pitch",(v) verb
ክብረት,respect,(n) noun
ክብሪ ዘለዎ,"be worth, cost",(v) verb
ክታም,signature,(n) noun
ክታቤት,vaccine,(n) noun
ክትዐ,discussion,(n) noun
ክንተባ,town hall,(n) noun
ክንቲት,feather,(n) noun
ክንከን,care,(n) noun
ክንደይ,"(adv) how much,",(n) noun
ክንፊ ዓሳ,fin,(n) noun
ክኢላ,skilful,(a) adjective
ክኣል,affordable,(a) adjective
ክእለታዊ,able,(a) adjective
ክእለት,"talent, skill, ability",(n) noun
ክውንነት,reality,(n) noun
ክዳን,"clothes, suit, garment",(n) noun
ክፋት,opening,(n) noun
ክፍለ ዓመት,season,(n) noun
ክፍለ ዘመን,century,(n) noun
ክፍሊ,"cabin, section, room,",(n) noun
ክፍሊ መጥባሕቲ,operating,(n) noun
ክፍሊ መጸበዩ,waiting room,(n) noun
ክፍሊ ስራሕ,workshop,(n) noun
ክፍሊ ተለፎን,phone booth,(n) noun
ክፍሊ ገበን,"security, safety",(n) noun
ኮላ,glue,(n) noun
ኮመዲ,comedy,(n) noun
ኮመዲኖ,nightstand,(n) noun
ኮሚተ,committee,(n) noun
ኮሚደረ,tomato,(n) noun
ኮሚደሮ,tomato,(n) noun
ኮማንደር,commanding officer,(n) noun
ኮሞ,chest of drawers,(n) noun
ኮረየ,get annoyed,(v) verb
ኮረደዮ,"corridor, passage",(n) noun
ኮርመጀ,"whip, flog",(v) verb
ኮርስ,course,(n) noun
ኮርዳድ ጸጉሪ,curly,(a) adjective
ኮሮነል,colonel,(n) noun
ኮስኮሰ,cultivate,(v) verb
ኮብላሊ,"hobo, bum, homeless,",(n) noun
ኮቦርታ,"cover, blanket",(n) noun
ኮቦሮ,drum,(n) noun
ኮቦሮ ኦርከስትራ,battery,(n) noun
ኮቦሮ ዓይኒ,eyelid,(n) noun
ኮተሊኽ,Catholic,(a) adjective
ኮነ,"turn up, produce, happen,",(v) verb
ኮነነ,"sentence, give up,",(v) verb
ኮድ,code,(n) noun
ኮፍ,sit,(v) verb
ኮፍ መበሊ,seat,(n) noun
ኮፍ በለ,sit down,(v) verb
ኰነ,"become, happen, occur",(v) verb
ኰዓተ,dig,(v) verb
ኳሌታ,"neck, collar",(n) noun
ኳኽ,crow,(n) noun
ኳዓተ,"hollow out, dig",(v) verb
ኳዓታይ,grave-digger,(n) noun
ኾራዪ,angry,(a) adjective
ኾራይት,(af) angry,(uncategorized) Uncategorized
ኾርፋፍ,(am) angry,(uncategorized) Uncategorized
ወለዐ,"light up, switch on",(v) verb
ወለዲ,"parent, relative",(n) noun
ወለድ,interest,(n) noun
ወለዶ,ancestor,(n) noun
ወልወለ,"polish, wax, rub",(v) verb
ወሓዘ,"run, flow",(v) verb
ወሓጠ,"swallow, devour",(v) verb
ወረ,"news, information,",(n) noun
ወረረ,"invade, overcome,",(v) verb
ወረቐት,paper,(n) noun
ወረበ,compose,(v) verb
ወረደ,descend,(v) verb
ወረጃ,polite,(a) adjective
ወርሒ,month,(n) noun
ወርሓዊ,monthly,(a) adjective
ወርቂ,gold,(n) noun
ወሰነ,"decide, limit, fix",(v) verb
ወሰን,"border, edging",(n) noun
ወሰን ባሕሪ,"coast, chop",(n) noun
ወሰን ወሰን,edge,(n) noun
ወሰን ዘአይብሉ,"infinite,",(an) adjective noun
ወሰአነ,define,(v) verb
ወሰኸ,"increase, rise, add",(v) verb
ወሰደ,"take away, take",(v) verb
ወስታ,gesture,(n) noun
ወሽመጥ,channel,(n) noun
ወቐሰ,"reproach, accuse",(v) verb
ወቕሳ,reproach,(n) noun
ወቕዐ,"hit, strike",(v) verb
ወተሃበራዊ,military,(a) adjective
ወተሃደር,"soldier, police",(n) noun
ወተፈ,block,(v) verb
ወነነ,"to have, possess",(v) verb
ወኒነ ትካል,enterprise,(n) noun
ወናኒ,"owner, landlord",(n) noun
ወከለ,represent,(v) verb
ወከል,advocate,(n) noun
ወከልቲ,advocator,(npl) noun plural
ወከሰ,accusation,(n) noun
ወከስቲ,accuser,(np) noun plural
ወኪል,representative,(n) noun
ወኪል ህዝቢ,"deputy, Member",(n) noun
ወካሊ,advocator,(nm) noun masculine
ወካሊት,advocator,(nf) noun feminine
ወካሲ,accuser,(nm) noun masculine
ወካሲት,accuser,(nf) noun feminine
ወኻርያ,fox,(n) noun
ወዝ,"appearance, look",(n) noun
ወይኒ,grape,(n) noun
ወይኒ ኣረየ,bring in the grape,(v) verb
ወይዘሪት,miss,(n) noun
ወይዘሮ,madam,(n) noun
ወደቐ,"drop, fall",(v) verb
ወደብ,port,(n) noun
ወደአ,finish,(v) verb
ወዲ,"boy, son",(n) noun
ወዲ ሓብቲ,nephew (sister),(n) noun
ወዲ ሓትኖ,cousin (mother's,(n) noun
ወዲ ሓወቦ,cousin (father's,(n) noun
ወዲ ሓዊ,nephew (brother),(n) noun
ወዲ ሰብ,"humane, human",(a) adjective
ወዲ ብልግና,godson,(n) noun
ወዲ ንጉስ,prince,(n) noun
ወዲ ኣሞ,cousin (father's,(n) noun
ወዲ ኣኮ,cousin (mother's,(n) noun
ወዲ ክፍሊ,classmate (male),(n) noun
ወዲ ወዲ,grandson,(n) noun
ወዲ ዓዲ,compatriot,(n) noun
ወዲ ገጠር,country,(a) adjective
ወዲ ጓል,grandson,(n) noun
ወዲቐ,failed,(a) adjective
ወድአ,conclude,(v) verb
ወገን,flank,(n) noun
ወገዘ,"sentence, condemn",(v) verb
ወገደ,"ban, forbid, abolish, get",(v) verb
ወጋሕታ,dawn,(n) noun
ወግአ,"sting, prick",(v) verb
ወግዓዊ,official,(a) adjective
ወጔሳ,surgeon,(n) noun
ወጠጠ,"draw, pull",(v) verb
ወጠጦ,goat,(n) noun
ወጸ,"come/go out, leave",(v) verb
ወጸቓ,anvil,(n) noun
ወጻኢ,(adv n) outside,(uncategorized) Uncategorized
ወጻእተኛ,"strange, foreign,",(an) adjective noun
ወፈየ,"offer, dedicate",(v) verb
ዊሎው,willow,(n) noun
ዋሃብ ስራሕ,employer,(n) noun
ዋላ ስብከት,chair,(n) noun
ዋሕዚ,river,(n) noun
ዋሪ,blackbird,(n) noun
ዋና ገዛ,owner,(n) noun
ዋና ጸሓፊ,secretary,(n) noun
ዋንነት,"ownership, property",(n) noun
ዋዒ,"heat, warmth",(n) noun
ዋዕላ,conference,(n) noun
ዋጋ,"cost, value, worth, price",(n) noun
ዋጋ ዘይብሉ,invalid,(a) adjective
ዋጋ ጻዕሩ ረኸበ,win,(v) verb
ውህላለ ገንዘብ,saving,(n) noun
ውላድ ድሙ,kitten,(n) noun
ውሑዳን,minority,(n) noun
ውሕስነት,"guarantee, security",(n) noun
ውሕድ,a little,(adv) adverb
ውሩይ,famous,(a) adjective
ውርሻ,inheritance,(n) noun
ውሳኔ,"decision, determination,",(n) noun
ውሽጢ,inside,(a) adjective
ውሽጢ ባኒ,crumb,(n) noun
ውሽጣዊ,inferior,(adv) adverb
ውቅያኖስ,ocean,(n) noun
ውዑይ,hot,(a) adjective
ውዕል,"treaty, agreement,",(n) noun
ውዕውዕ,warm,(a) adjective
ውዕውዕ ስምዒት,enthusiasm,(n) noun
ውዕውዕ ደገፍታ,acclamation,(n) noun
ውዲእ,exhausted,(a) adjective
ውድቀት,fall,(n) noun
ውድድር,competition,(n) noun
ውግእ,"war, battle, fight",(n) noun
ውጽኢት,"effect, result,",(n) noun
ውፉይነት,devotion,(n) noun
ዑፉን,"corn, maize",(n) noun
ዑፍ,bird,(n) noun
ዒሉ,haddock,(n) noun
ዒላ,"artificial lake, water well",(n) noun
ዒዋል,kitten,(n) noun
ዓለመ,"bring, put up",(v) verb
ዓለበ,"land, arrive",(v) verb
ዓለባ,"material, fabric, linen",(n) noun
ዓለባ ምርኢት,screen,(n) noun
ዓላ,"nice, friendly",(a) adjective
ዓላነት,"sympathy, liveliness",(n) noun
ዓሌት,"race, descent",(n) noun
ዓመታዊ,"annual, yearly",(a) adjective
ዓመት,year,(n) noun
ዓሚል,customer,(n) noun
ዓሚቝ,deep,(a) adjective
ዓማዊል,customers,(n) noun
ዓምበበ,"open up, flower,",(v) verb
ዓረር,lead,(n) noun
ዓረፈ,land,(v) verb
ዓራቒት ፈራዲት,judge,(nf) noun feminine
ዓራቓይ,judge,(nm) noun masculine
ዓራት,bed,(n) noun
ዓራት ሕጻን,cradle,(n) noun
ዓርቢ,Friday,(n) noun
ዓርኪ,friend,(n) noun
ዓሰርተ,ten,(an) adjective noun
ዓሰርተ ሓሙሽተ,fifteen,(an) adjective noun
ዓሰርተ ሓደ,eleven,(an) adjective noun
ዓሰርተ ሓደ ክፍሊ,eleventh,(n) noun
ዓሰርተ ሰለስተ,thirteen,(an) adjective noun
ዓሰርተ ሸሞንተ,eighteen,(an) adjective noun
ዓሰርተ ሸውዓተ,seventeen,(an) adjective noun
ዓሰርተ ሽዱሽተ,sixteen,(an) adjective noun
ዓሰርተ ትሽዓተ,nineteen,(an) adjective noun
ዓሰርተ ኣርባዕተ,fourteen,(an) adjective noun
ዓሰርተ ክልተ,twelve,(an) adjective noun
ዓሰርተ ክልተ ክፍሊ,twelfth,(n) noun
ዓሳ,fish,(n) noun
ዓሳ ኣንበሪ,whale,(n) noun
ዓሳክር,troop,(n) noun
ዓሳው,stale,(a) adjective
ዓስራይ,tenth,(a) adjective
ዓሻ,foolish,(a) adjective
ዓሽራይ ክፍሊ,tenth grade,(n) noun
ዓቀበ,"keep, maintain, uphold,",(v) verb
ዓቀነ,measure,(v) verb
ዓቃል,patient,(a) adjective
ዓቐበ,"take in, shelter",(v) verb
ዓቐብ,slope,(n) noun
ዓቐን,"size, measurement,",(n) noun
ዓበየ,"develop, grow",(v) verb
ዓባይ,grand mother,(n) noun
ዓባይ ሰዓት,clock,(n) noun
ዓባይ ዓባይቶ,big toe/finger,(n) noun
ዓብለለ,dominate,(v) verb
ዓብዪ,"great, old, large",(a) adjective
ዓብይ,"great, old, large",(a) adjective
ዓብይ ጎደና,avenue,(n) noun
ዓተር,chickpea,(n) noun
ዓነወ,collapse,(v) verb
ዓንቀጸ,be in the way,(v) verb
ዓንቀጽ,"paragraph, article",(n) noun
ዓንቀፈ,prevent,(v) verb
ዓንቐር,tonsil,(n) noun
ዓንደረ,frolic,(v) verb
ዓንዲ,column,(n) noun
ዓንዲ ሕቔ,spine,(n) noun
ዓኳይ,"farmer, peasant",(n) noun
ዓወት,"success, triumph, win,",(n) noun
ዓውደ ኣዋርሕ,"calendar,",(n) noun
ዓውደ ውግእ,battlefield,(n) noun
ዓዓ,goose,(n) noun
ዓዘቕቲ,swamp,(n) noun
ዓያዪ ኣሕደረ,employ,(v) verb
ዓይነ ስዉር,"blind, dazzle",(a) adjective
ዓይነት,"quality, sort, kind",(n) noun
ዓይኒ,eye,(n) noun
ዓይኒ ዓተር,"pea,peas",(n) noun
ዓደለ,"distribute, deliver",(v) verb
ዓደመ,invite,(v) verb
ዓደገ,buy,(v) verb
ዓዲ,country,(n) noun
ዓዳጊ,"buyer, purchaser",(n) noun
ዓገተ,"restrict, prevent, warn",(v) verb
ዓጋዜን,deer,(n) noun
ዓጸወ,"close, shut, lock up",(v) verb
ዓጸደ,mow down,(v) verb
ዓጸፈ,"fold, bend",(v) verb
ዓጽሚ,"bone, bones",(n) noun
ዕለት,date,(n) noun
ዕለት ገበረ,date,(v) verb
ዕላማ,"target, aim, goal",(n) noun
ዕልቅቕልቕ,flood,(n) noun
ዕማም,task,(n) noun
ዕምቆት,depth,(n) noun
ዕምባባ,"flower, blossom",(n) noun
ዕምኮ,"fist, punch",(n) noun
ዕረፍቲ,"rest, relaxation",(n) noun
ዕርክነታዊ,"friendly, association",(a) adjective
ዕርክነት,friendship,(n) noun
ዕርዲ,wall,(n) noun
ዕርገት,ascent,(n) noun
ዕስለ,swarm,(n) noun
ዕስራ,twenty,(an) adjective noun
ዕሽሽ በለ,"not know, ignore",(v) verb
ዕሽነት,stupidity,(n) noun
ዕቃበ,"economy, economics",(n) noun
ዕቋር ማይ,puddle,(n) noun
ዕቑብ,favourite,(n) noun
ዕብየት,size,(n) noun
ዕተብ,"serious, grave",(a) adjective
ዕቱብ,serious,(a) adjective
ዕታሮ,handful,(n) noun
ዕትሮ,pot,(n) noun
ዕንቅፋት,obstacle,(n) noun
ዕንቍ,pearl,(n) noun
ዕንወት,"devastate, desolation,",(n) noun
ዕንዛርያ,bumblebee,(n) noun
ዕንደራ,adventure,(n) noun
ዕንጭራር,cricket,(n) noun
ዕንጸይቲ,wood,(n) noun
ዕኮት,wasp,(n) noun
ዕዉት,"winner, victor",(a) adjective
ዕየት,lamb,(n) noun
ዕዮ,"exercise, work",(n) noun
ዕዮ ገዛ,house work,(n) noun
ዕደላ,"distribution, delivery",(n) noun
ዕዲም,guest,(n) noun
ዕዳ,debt,(n) noun
ዕዳጋ,"bazaar, fair",(n) noun
ዕድል,"chance, luck, fortune",(n) noun
ዕድልነት,destiny,(n) noun
ዕድመ,invitation,(n) noun
ዕድመ ሂወት,age,(n) noun
ዕግርግር,agitation,(n) noun
ዕጣር,"wrinkled, crumple",(an) adjective noun
ዕጣሮ,wrinkle,(n) noun
ዕጥቂ,uniform,(n) noun
ዕጫ,lot,(n) noun
ዕጻፍ,fold,(n) noun
ዕጽዉ,"closed, shut",(a) adjective
ዕጽፊ,double,(a) adjective
ዕፉን,corn,(n) noun
ዘለለ,jump,(v) verb
ዘላኣለማዊ,eternal,(a) adjective
